,,,,,,,,PRE-CP,,,,,,,,POST-CP,,,,,,IMPROVEMENT,,
Group,Method,Backbone,Dataset,NUM_DATA,model_size,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,knn_f1_improvement_mean,lp_f1_improvement_mean,ft_f1_improvement
,LeJEPA-CP,DINOv3,OCTMNIST,10000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-octmnist,haodong,0.5907,0.0167,0.7297,0.0170,0.8904,0.0049,,haodong,0.758840,0.014859,0.861881,0.007127,0.898243,0.009800,0.1681,0.1322,0.0078
,LeJEPA-CP,DINOv3,OCTMNIST,25000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-octmnist,haodong,0.6411,0.0082,0.7402,0.0175,0.9033,0.0042,,haodong,0.777076,0.021969,0.876060,0.015195,0.909207,0.004859,0.1360,0.1359,0.0059
,LeJEPA-CP,DINOv3,OCTMNIST,MAX (97477),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-octmnist,haodong,0.6862,0.0000,0.7679,0.0072,0.9200,0.0125,,haodong,0.717506,0.031433,0.875652,0.018933,0.91083,0.002155,0.0313,0.1077,-0.0092
,LeJEPA-CP,MAE,OCTMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-octmnist,haodong,0.2545,0.0067,0.4639,0.0160,0.8806,0.0025,,haodong,0.408134,0.038563,0.647887,0.114410,0.856725,0.017065,0.1536,0.1840,-0.0239
,LeJEPA-CP,MAE,OCTMNIST,MAX (97477),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-octmnist,haodong,0.2953,0.0000,0.4948,0.0018,0.9183,0.0063,,haodong,0.695671,0.028253,0.871286,0.021603,0.914174,0.006914,0.4004,0.3765,-0.0041
,LeJEPA-CP,CLIP,OCTMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-octmnist,haodong,0.2818,0.0148,0.5313,0.0287,0.8512,0.0070,,haodong,0.472506,0.017165,0.680656,0.041745,0.770009,0.040486,0.1907,0.1494,-0.0812
,LeJEPA-CP,CLIP,OCTMNIST,MAX (97477),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-octmnist,haodong,0.4061,0.0000,0.5955,0.0109,0.9132,0.0102,,haodong,0.699665,0.011333,0.825983,0.025658,0.911904,0.01379,0.2936,0.2305,-0.0013
,LeJEPA-CP,DINOv3,OrganAMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-organamnist,haodong,0.4847,0.0148,0.5369,0.0134,0.6611,0.0250,,haodong,0.484677,0.014793,0.525066,0.029630,0.598232,0.013314,0.0000,-0.0118,-0.0629
,LeJEPA-CP,DINOv3,OrganAMNIST,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-organamnist,haodong,0.7393,0.0110,0.6872,0.0247,0.7919,0.0155,,haodong,0.732202,0.016392,0.717601,0.015859,0.743219,0.009060,-0.0071,0.0304,-0.0487
,LeJEPA-CP,DINOv3,OrganAMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-organamnist,haodong,0.7776,0.0022,0.7112,0.0119,0.8575,0.0061,,haodong,0.775868,0.013954,0.753398,0.013929,0.791628,0.012536,-0.0017,0.0422,-0.0659
,LeJEPA-CP,DINOv3,OrganAMNIST,10000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-organamnist,haodong,0.8586,0.0021,0.8180,0.0064,0.9080,0.0038,,haodong,0.864051,0.014547,0.829229,0.022433,0.879199,0.001364,0.0055,0.0112,-0.0288
