run_id,group,cookbook_row,num_trained_blocks,backbone,dataset,n_samples,model_size,run,pre_knn_f1,pre_knn_f1_std,pre_linear_f1,pre_linear_f1_std,post_knn_f1,post_knn_f1_std,post_linear_f1,post_linear_f1_std,post_sft_f1,post_sft_f1_std
pretrained_breastmnist_dinov3_n500,pretrained,12,2,DINOv3,BreastMNIST,500,ViT-B,average,,,,,0.873902,0.005577,0.845075,0.025984,0.889007,0.013676
pretrained_breastmnist_dinov3_n546,pretrained,13,2,DINOv3,BreastMNIST,546,ViT-B,42,,,,,0.870682,,0.846154,,0.893302,
pretrained_breastmnist_dinov3_n546,pretrained,13,2,DINOv3,BreastMNIST,546,ViT-B,43,,,,,0.889825,,0.860472,,0.917285,
pretrained_breastmnist_dinov3_n546,pretrained,13,2,DINOv3,BreastMNIST,546,ViT-B,44,,,,,0.872874,,0.838974,,0.893302,
pretrained_breastmnist_dinov3_n546,pretrained,13,2,DINOv3,BreastMNIST,546,ViT-B,average,,,,,0.877794,0.010476,0.848534,0.010945,0.901297,0.013846
pretrained_breastmnist_mae_n100,pretrained,14,2,MAE,BreastMNIST,100,ViT-B,42,,,,,0.507576,,0.632052,,0.758583,
pretrained_breastmnist_mae_n100,pretrained,14,2,MAE,BreastMNIST,100,ViT-B,43,,,,,0.555254,,0.667094,,0.741542,
pretrained_breastmnist_mae_n100,pretrained,14,2,MAE,BreastMNIST,100,ViT-B,44,,,,,0.569579,,0.531572,,0.783333,
pretrained_breastmnist_mae_n100,pretrained,14,2,MAE,BreastMNIST,100,ViT-B,average,,,,,0.544136,0.032462,0.610239,0.070345,0.761153,0.021014
pretrained_breastmnist_mae_n546,pretrained,15,2,MAE,BreastMNIST,546,ViT-B,42,,,,,0.797403,,0.776518,,0.882328,
pretrained_breastmnist_mae_n546,pretrained,15,2,MAE,BreastMNIST,546,ViT-B,43,,,,,0.783333,,0.753843,,0.899138,
pretrained_breastmnist_mae_n546,pretrained,15,2,MAE,BreastMNIST,546,ViT-B,44,,,,,0.783333,,0.718194,,0.899138,
pretrained_breastmnist_mae_n546,pretrained,15,2,MAE,BreastMNIST,546,ViT-B,average,,,,,0.788023,0.008123,0.749518,0.029402,0.893535,0.009705
pretrained_breastmnist_clip_n100,pretrained,16,2,CLIP,BreastMNIST,100,ViT-B,42,,,,,0.444369,,0.669169,,0.751987,
pretrained_breastmnist_clip_n100,pretrained,16,2,CLIP,BreastMNIST,100,ViT-B,43,,,,,0.422222,,0.638889,,0.826048,
pretrained_breastmnist_clip_n100,pretrained,16,2,CLIP,BreastMNIST,100,ViT-B,44,,,,,0.422222,,0.604396,,0.760567,
pretrained_breastmnist_clip_n100,pretrained,16,2,CLIP,BreastMNIST,100,ViT-B,average,,,,,0.429605,0.012786,0.637485,0.032410,0.779534,0.040510
pretrained_breastmnist_clip_n546,pretrained,17,2,CLIP,BreastMNIST,546,ViT-B,42,,,,,0.794349,,0.812231,,0.891615,
pretrained_breastmnist_clip_n546,pretrained,17,2,CLIP,BreastMNIST,546,ViT-B,43,,,,,0.786008,,0.808544,,0.884199,
pretrained_breastmnist_clip_n546,pretrained,17,2,CLIP,BreastMNIST,546,ViT-B,44,,,,,0.780591,,0.830114,,0.876887,
pretrained_breastmnist_clip_n546,pretrained,17,2,CLIP,BreastMNIST,546,ViT-B,average,,,,,0.786983,0.006930,0.816963,0.011537,0.884234,0.007364
pretrained_octmnist_dinov3_n100,pretrained,18,2,DINOv3,OctMNIST,100,ViT-B,42,,,,,0.304879,,0.528003,,0.680528,
pretrained_octmnist_dinov3_n100,pretrained,18,2,DINOv3,OctMNIST,100,ViT-B,43,,,,,0.296588,,0.493277,,0.683300,
pretrained_octmnist_dinov3_n100,pretrained,18,2,DINOv3,OctMNIST,100,ViT-B,44,,,,,0.313599,,0.517998,,0.736908,
pretrained_octmnist_dinov3_n100,pretrained,18,2,DINOv3,OctMNIST,100,ViT-B,average,,,,,0.305022,0.008506,0.513093,0.017875,0.700245,0.031781
pretrained_octmnist_dinov3_n500,pretrained,19,2,DINOv3,OctMNIST,500,ViT-B,42,,,,,0.684583,,0.805769,,0.840660,
pretrained_octmnist_dinov3_n500,pretrained,19,2,DINOv3,OctMNIST,500,ViT-B,43,,,,,0.674505,,0.852551,,0.868525,
pretrained_octmnist_dinov3_n500,pretrained,19,2,DINOv3,OctMNIST,500,ViT-B,44,,,,,0.651752,,0.808151,,0.794845,
pretrained_octmnist_dinov3_n500,pretrained,19,2,DINOv3,OctMNIST,500,ViT-B,average,,,,,0.670280,0.016818,0.822157,0.026349,0.834677,0.037203
pretrained_octmnist_dinov3_n1000,pretrained,20,2,DINOv3,OctMNIST,1000,ViT-B,42,,,,,0.741538,,0.825072,,0.877603,
pretrained_octmnist_dinov3_n1000,pretrained,20,2,DINOv3,OctMNIST,1000,ViT-B,43,,,,,0.744715,,0.813671,,0.858712,
pretrained_octmnist_dinov3_n1000,pretrained,20,2,DINOv3,OctMNIST,1000,ViT-B,44,,,,,0.727820,,0.756058,,0.833999,
pretrained_octmnist_dinov3_n1000,pretrained,20,2,DINOv3,OctMNIST,1000,ViT-B,average,,,,,0.738024,0.008979,0.798267,0.036996,0.856771,0.021867
pretrained_octmnist_dinov3_n10000,pretrained,21,4,DINOv3,OctMNIST,10000,ViT-B,42,,,,,0.768018,,0.853698,,0.890256,
pretrained_octmnist_dinov3_n10000,pretrained,21,4,DINOv3,OctMNIST,10000,ViT-B,43,,,,,0.766805,,0.865217,,0.895295,
pretrained_octmnist_dinov3_n10000,pretrained,21,4,DINOv3,OctMNIST,10000,ViT-B,44,,,,,0.741696,,0.866729,,0.909179,
pretrained_octmnist_dinov3_n10000,pretrained,21,4,DINOv3,OctMNIST,10000,ViT-B,average,,,,,0.758840,0.014859,0.861881,0.007127,0.898243,0.009800
pretrained_octmnist_dinov3_n25000,pretrained,22,4,DINOv3,OctMNIST,25000,ViT-B,42,,,,,0.752157,,0.859831,,0.914784,
pretrained_octmnist_dinov3_n25000,pretrained,22,4,DINOv3,OctMNIST,25000,ViT-B,43,,,,,0.793647,,0.878401,,0.905884,
pretrained_octmnist_dinov3_n25000,pretrained,22,4,DINOv3,OctMNIST,25000,ViT-B,44,,,,,0.785424,,0.889949,,0.906954,
pretrained_octmnist_dinov3_n25000,pretrained,22,4,DINOv3,OctMNIST,25000,ViT-B,average,,,,,0.777076,0.021969,0.876060,0.015195,0.909207,0.004859
pretrained_octmnist_mae_n1000,pretrained,24,2,MAE,OctMNIST,1000,ViT-B,42,,,,,0.398017,,0.735193,,0.853172,
pretrained_octmnist_mae_n1000,pretrained,24,2,MAE,OctMNIST,1000,ViT-B,43,,,,,0.375638,,0.690098,,0.875287,
pretrained_octmnist_mae_n1000,pretrained,24,2,MAE,OctMNIST,1000,ViT-B,44,,,,,0.450746,,0.518369,,0.841716,
pretrained_octmnist_mae_n1000,pretrained,24,2,MAE,OctMNIST,1000,ViT-B,average,,,,,0.408134,0.038563,0.647887,0.114410,0.856725,0.017065
pretrained_octmnist_clip_n1000,pretrained,26,2,CLIP,OctMNIST,1000,ViT-B,42,,,,,0.465958,,0.728636,,0.727601,
pretrained_octmnist_clip_n1000,pretrained,26,2,CLIP,OctMNIST,1000,ViT-B,43,,,,,0.459579,,0.660681,,0.808250,
pretrained_octmnist_clip_n1000,pretrained,26,2,CLIP,OctMNIST,1000,ViT-B,44,,,,,0.491981,,0.652651,,0.774177,
pretrained_octmnist_clip_n1000,pretrained,26,2,CLIP,OctMNIST,1000,ViT-B,average,,,,,0.472506,0.017165,0.680656,0.041745,0.770009,0.040486
pretrained_organamnist_dinov3_n100,pretrained,28,2,DINOv3,OrganAMNIST,100,ViT-B,42,,,,,0.481107,,0.491091,,0.592472,
pretrained_organamnist_dinov3_n100,pretrained,28,2,DINOv3,OrganAMNIST,100,ViT-B,43,,,,,0.500928,,0.538554,,0.588768,
pretrained_organamnist_dinov3_n100,pretrained,28,2,DINOv3,OrganAMNIST,100,ViT-B,44,,,,,0.471996,,0.545551,,0.613456,
pretrained_organamnist_dinov3_n100,pretrained,28,2,DINOv3,OrganAMNIST,100,ViT-B,average,,,,,0.484677,0.014793,0.525066,0.029630,0.598232,0.013314
pretrained_organamnist_dinov3_n500,pretrained,29,2,DINOv3,OrganAMNIST,500,ViT-B,42,,,,,0.751125,,0.735910,,0.743407,
pretrained_organamnist_dinov3_n500,pretrained,29,2,DINOv3,OrganAMNIST,500,ViT-B,43,,,,,0.722369,,0.708707,,0.752184,
pretrained_organamnist_dinov3_n500,pretrained,29,2,DINOv3,OrganAMNIST,500,ViT-B,44,,,,,0.723113,,0.708185,,0.734067,
pretrained_organamnist_dinov3_n500,pretrained,29,2,DINOv3,OrganAMNIST,500,ViT-B,average,,,,,0.732202,0.016392,0.717601,0.015859,0.743219,0.009060
pretrained_organamnist_dinov3_n1000,pretrained,30,2,DINOv3,OrganAMNIST,1000,ViT-B,42,,,,,0.783371,,0.766895,,0.784538,
pretrained_organamnist_dinov3_n1000,pretrained,30,2,DINOv3,OrganAMNIST,1000,ViT-B,43,,,,,0.759768,,0.739073,,0.806103,
pretrained_organamnist_dinov3_n1000,pretrained,30,2,DINOv3,OrganAMNIST,1000,ViT-B,44,,,,,0.784464,,0.754226,,0.784244,
pretrained_organamnist_dinov3_n1000,pretrained,30,2,DINOv3,OrganAMNIST,1000,ViT-B,average,,,,,0.775868,0.013954,0.753398,0.013929,0.791628,0.012536
pretrained_organamnist_dinov3_n10000,pretrained,31,4,DINOv3,OrganAMNIST,10000,ViT-B,42,,,,,0.878032,,0.848773,,0.879928,
pretrained_organamnist_dinov3_n10000,pretrained,31,4,DINOv3,OrganAMNIST,10000,ViT-B,43,,,,,0.865124,,0.834180,,0.880044,
pretrained_organamnist_dinov3_n10000,pretrained,31,4,DINOv3,OrganAMNIST,10000,ViT-B,44,,,,,0.848998,,0.804735,,0.877625,
pretrained_organamnist_dinov3_n10000,pretrained,31,4,DINOv3,OrganAMNIST,10000,ViT-B,average,,,,,0.864051,0.014547,0.829229,0.022433,0.879199,0.001364
pretrained_organamnist_dinov3_n25000,pretrained,32,4,DINOv3,OrganAMNIST,25000,ViT-B,42,,,,,0.876867,,0.826821,,0.880310,
pretrained_organamnist_dinov3_n25000,pretrained,32,4,DINOv3,OrganAMNIST,25000,ViT-B,43,,,,,0.878301,,0.832498,,0.888281,
pretrained_organamnist_dinov3_n25000,pretrained,32,4,DINOv3,OrganAMNIST,25000,ViT-B,44,,,,,0.892040,,0.853397,,0.884478,
pretrained_organamnist_dinov3_n25000,pretrained,32,4,DINOv3,OrganAMNIST,25000,ViT-B,average,,,,,0.882403,0.008377,0.837572,0.013996,0.884356,0.003987
pretrained_organamnist_dinov3_n34561,pretrained,33,6,DINOv3,OrganAMNIST,34561,ViT-B,42,,,,,0.884091,,0.839928,,0.910735,
pretrained_organamnist_dinov3_n34561,pretrained,33,6,DINOv3,OrganAMNIST,34561,ViT-B,43,,,,,0.890346,,0.854366,,0.910258,
pretrained_organamnist_dinov3_n34561,pretrained,33,6,DINOv3,OrganAMNIST,34561,ViT-B,44,,,,,0.890449,,0.842269,,0.910052,
pretrained_organamnist_dinov3_n34561,pretrained,33,6,DINOv3,OrganAMNIST,34561,ViT-B,average,,,,,0.888295,0.003642,0.845521,0.007749,0.910348,0.000350
pretrained_organamnist_mae_n1000,pretrained,34,2,MAE,OrganAMNIST,1000,ViT-B,42,,,,,0.799448,,0.753608,,0.819740,
pretrained_organamnist_mae_n1000,pretrained,34,2,MAE,OrganAMNIST,1000,ViT-B,43,,,,,0.773097,,0.705625,,0.816154,
pretrained_organamnist_mae_n1000,pretrained,34,2,MAE,OrganAMNIST,1000,ViT-B,44,,,,,0.746981,,0.722125,,0.809128,
pretrained_organamnist_mae_n1000,pretrained,34,2,MAE,OrganAMNIST,1000,ViT-B,average,,,,,0.773175,0.026234,0.727120,0.024378,0.815007,0.005398
pretrained_organamnist_mae_n34561,pretrained,35,6,MAE,OrganAMNIST,34561,ViT-B,42,,,,,0.891893,,0.870108,,0.910380,
pretrained_organamnist_mae_n34561,pretrained,35,6,MAE,OrganAMNIST,34561,ViT-B,43,,,,,0.893686,,0.879535,,0.911523,
pretrained_organamnist_mae_n34561,pretrained,35,6,MAE,OrganAMNIST,34561,ViT-B,44,,,,,0.889384,,0.867017,,0.908225,
pretrained_organamnist_mae_n34561,pretrained,35,6,MAE,OrganAMNIST,34561,ViT-B,average,,,,,0.891655,0.002161,0.872220,0.006521,0.910042,0.001674
pretrained_organamnist_clip_n1000,pretrained,36,2,CLIP,OrganAMNIST,1000,ViT-B,42,,,,,0.702005,,0.697009,,0.774255,
pretrained_organamnist_clip_n1000,pretrained,36,2,CLIP,OrganAMNIST,1000,ViT-B,43,,,,,0.707959,,0.645858,,0.765487,
pretrained_organamnist_clip_n1000,pretrained,36,2,CLIP,OrganAMNIST,1000,ViT-B,44,,,,,0.706992,,0.657091,,0.771350,
pretrained_organamnist_clip_n1000,pretrained,36,2,CLIP,OrganAMNIST,1000,ViT-B,average,,,,,0.705652,0.003195,0.666653,0.026883,0.770364,0.004466
pretrained_organamnist_clip_n34561,pretrained,37,6,CLIP,OrganAMNIST,34561,ViT-B,42,,,,,0.871359,,0.848065,,0.913593,
pretrained_organamnist_clip_n34561,pretrained,37,6,CLIP,OrganAMNIST,34561,ViT-B,43,,,,,0.868457,,0.844302,,0.931890,
pretrained_organamnist_clip_n34561,pretrained,37,6,CLIP,OrganAMNIST,34561,ViT-B,44,,,,,0.869217,,0.832416,,0.920614,
pretrained_organamnist_clip_n34561,pretrained,37,6,CLIP,OrganAMNIST,34561,ViT-B,average,,,,,0.869678,0.001505,0.841594,0.008168,0.922032,0.009231
pretrained_pathmnist_dinov3_n100,pretrained,38,2,DINOv3,PathMNIST,100,ViT-B,42,,,,,0.730272,,0.817467,,0.881679,
pretrained_pathmnist_dinov3_n100,pretrained,38,2,DINOv3,PathMNIST,100,ViT-B,43,,,,,0.599769,,0.764616,,0.881470,
pretrained_pathmnist_dinov3_n100,pretrained,38,2,DINOv3,PathMNIST,100,ViT-B,44,,,,,0.622779,,0.810710,,0.853947,
pretrained_pathmnist_dinov3_n100,pretrained,38,2,DINOv3,PathMNIST,100,ViT-B,average,,,,,0.650940,0.069660,0.797597,0.028762,0.872365,0.015951
pretrained_pathmnist_dinov3_n500,pretrained,39,2,DINOv3,PathMNIST,500,ViT-B,42,,,,,0.880386,,0.902026,,0.913483,
pretrained_pathmnist_dinov3_n500,pretrained,39,2,DINOv3,PathMNIST,500,ViT-B,43,,,,,0.853553,,0.895361,,0.905091,
pretrained_pathmnist_dinov3_n500,pretrained,39,2,DINOv3,PathMNIST,500,ViT-B,44,,,,,0.890789,,0.891632,,0.915336,
pretrained_pathmnist_dinov3_n500,pretrained,39,2,DINOv3,PathMNIST,500,ViT-B,average,,,,,0.874909,0.019213,0.896340,0.005266,0.911304,0.005459
pretrained_pathmnist_dinov3_n1000,pretrained,40,2,DINOv3,PathMNIST,1000,ViT-B,42,,,,,0.895644,,0.906330,,0.918807,
pretrained_pathmnist_dinov3_n1000,pretrained,40,2,DINOv3,PathMNIST,1000,ViT-B,43,,,,,0.907448,,0.886671,,0.918260,
pretrained_pathmnist_dinov3_n1000,pretrained,40,2,DINOv3,PathMNIST,1000,ViT-B,44,,,,,0.904090,,0.897248,,0.923637,
pretrained_pathmnist_dinov3_n1000,pretrained,40,2,DINOv3,PathMNIST,1000,ViT-B,average,,,,,0.902394,0.006082,0.896750,0.009839,0.920234,0.002959
pretrained_pathmnist_dinov3_n10000,pretrained,41,4,DINOv3,PathMNIST,10000,ViT-B,42,,,,,0.918088,,0.910126,,0.933089,
pretrained_pathmnist_dinov3_n10000,pretrained,41,4,DINOv3,PathMNIST,10000,ViT-B,43,,,,,0.918999,,0.910736,,0.933358,
pretrained_pathmnist_dinov3_n10000,pretrained,41,4,DINOv3,PathMNIST,10000,ViT-B,44,,,,,0.913240,,0.902786,,0.935828,
pretrained_pathmnist_dinov3_n10000,pretrained,41,4,DINOv3,PathMNIST,10000,ViT-B,average,,,,,0.916776,0.003096,0.907882,0.004424,0.934091,0.001510
pretrained_pathmnist_dinov3_n89996,pretrained,43,-1,DINOv3,PathMNIST,89996,ViT-B,42,,,,,0.890078,,0.892164,,0.946348,
pretrained_pathmnist_dinov3_n89996,pretrained,43,-1,DINOv3,PathMNIST,89996,ViT-B,43,,,,,0.908925,,0.910938,,0.954145,
pretrained_pathmnist_dinov3_n89996,pretrained,43,-1,DINOv3,PathMNIST,89996,ViT-B,44,,,,,0.857715,,0.875421,,0.949820,
pretrained_pathmnist_dinov3_n89996,pretrained,43,-1,DINOv3,PathMNIST,89996,ViT-B,average,,,,,0.885572,0.025901,0.892841,0.017768,0.950104,0.003906
pretrained_pathmnist_mae_n1000,pretrained,44,2,MAE,PathMNIST,1000,ViT-B,42,,,,,0.817203,,0.881513,,0.890428,
pretrained_pathmnist_mae_n1000,pretrained,44,2,MAE,PathMNIST,1000,ViT-B,43,,,,,0.811000,,0.838918,,0.921499,
pretrained_pathmnist_mae_n1000,pretrained,44,2,MAE,PathMNIST,1000,ViT-B,44,,,,,0.815039,,0.879634,,0.926818,
pretrained_pathmnist_mae_n1000,pretrained,44,2,MAE,PathMNIST,1000,ViT-B,average,,,,,0.814414,0.003148,0.866688,0.024068,0.912915,0.019655
pretrained_pathmnist_clip_n1000,pretrained,46,2,CLIP,PathMNIST,1000,ViT-B,42,,,,,0.843861,,0.877466,,0.910618,
pretrained_pathmnist_clip_n1000,pretrained,46,2,CLIP,PathMNIST,1000,ViT-B,43,,,,,0.858463,,0.871180,,0.920898,
pretrained_pathmnist_clip_n1000,pretrained,46,2,CLIP,PathMNIST,1000,ViT-B,44,,,,,0.864053,,0.888593,,0.908753,
pretrained_pathmnist_clip_n1000,pretrained,46,2,CLIP,PathMNIST,1000,ViT-B,average,,,,,0.855459,0.010426,0.879079,0.008818,0.913423,0.006540
pretrained_pathmnist_clip_n89996,pretrained,47,-1,CLIP,PathMNIST,89996,ViT-B,42,,,,,0.905162,,0.913349,,0.946686,
pretrained_pathmnist_clip_n89996,pretrained,47,-1,CLIP,PathMNIST,89996,ViT-B,43,,,,,0.885885,,0.895073,,0.948674,
pretrained_pathmnist_clip_n89996,pretrained,47,-1,CLIP,PathMNIST,89996,ViT-B,44,,,,,0.896220,,0.905618,,0.944797,
pretrained_pathmnist_clip_n89996,pretrained,47,-1,CLIP,PathMNIST,89996,ViT-B,average,,,,,0.895756,0.009647,0.904680,0.009174,0.946719,0.001938
pretrained_galaxy10_dinov3_n100,pretrained,48,2,DINOv3,Galaxy10,100,ViT-B,42,,,,,0.377898,,0.363509,,0.523333,
