run_id,group,cookbook_row,num_trained_blocks,backbone,dataset,n_samples,model_size,run,pre_knn_f1,pre_knn_f1_std,pre_linear_f1,pre_linear_f1_std,post_knn_f1,post_knn_f1_std,post_linear_f1,post_linear_f1_std,post_sft_f1,post_sft_f1_std
pretrained_galaxy10_dinov3_n14188,pretrained,52,4,DINOv3,Galaxy10,14188,ViT-B,44,,,,,0.657298,,0.743551,,0.799554,
pretrained_galaxy10_dinov3_n14188,pretrained,52,4,DINOv3,Galaxy10,14188,ViT-B,average,,,,,0.652596,0.006044,0.735761,0.007176,0.795839,0.003635
pretrained_galaxy10_mae_n1000,pretrained,53,2,MAE,Galaxy10,1000,ViT-B,42,,,,,0.446786,,0.473891,,0.691797,
pretrained_galaxy10_mae_n1000,pretrained,53,2,MAE,Galaxy10,1000,ViT-B,43,,,,,0.417501,,0.482208,,0.655686,
pretrained_galaxy10_mae_n1000,pretrained,53,2,MAE,Galaxy10,1000,ViT-B,44,,,,,0.398173,,0.473304,,0.684685,
pretrained_galaxy10_mae_n1000,pretrained,53,2,MAE,Galaxy10,1000,ViT-B,average,,,,,0.420820,0.024476,0.476468,0.004980,0.677389,0.019129
pretrained_galaxy10_mae_n14188,pretrained,54,4,MAE,Galaxy10,14188,ViT-B,42,,,,,0.602284,,0.645664,,0.798285,
pretrained_galaxy10_mae_n14188,pretrained,54,4,MAE,Galaxy10,14188,ViT-B,43,,,,,0.579801,,0.619040,,0.795674,
pretrained_galaxy10_mae_n14188,pretrained,54,4,MAE,Galaxy10,14188,ViT-B,44,,,,,0.583131,,0.635878,,0.799312,
pretrained_galaxy10_mae_n14188,pretrained,54,4,MAE,Galaxy10,14188,ViT-B,average,,,,,0.588405,0.012134,0.633528,0.013467,0.797757,0.001876
pretrained_galaxy10_clip_n1000,pretrained,55,2,CLIP,Galaxy10,1000,ViT-B,42,,,,,0.424642,,0.497780,,0.615115,
pretrained_galaxy10_clip_n1000,pretrained,55,2,CLIP,Galaxy10,1000,ViT-B,43,,,,,0.405009,,0.488971,,0.602449,
pretrained_galaxy10_clip_n1000,pretrained,55,2,CLIP,Galaxy10,1000,ViT-B,44,,,,,0.408265,,0.496994,,0.595921,
pretrained_galaxy10_clip_n1000,pretrained,55,2,CLIP,Galaxy10,1000,ViT-B,average,,,,,0.412639,0.010522,0.494582,0.004875,0.604495,0.009759
pretrained_galaxy10_clip_n14188,pretrained,56,4,CLIP,Galaxy10,14188,ViT-B,42,,,,,0.607982,,0.663763,,0.778694,
pretrained_galaxy10_clip_n14188,pretrained,56,4,CLIP,Galaxy10,14188,ViT-B,43,,,,,0.597655,,0.650554,,0.780511,
pretrained_galaxy10_clip_n14188,pretrained,56,4,CLIP,Galaxy10,14188,ViT-B,44,,,,,0.618932,,0.660445,,0.770639,
pretrained_galaxy10_clip_n14188,pretrained,56,4,CLIP,Galaxy10,14188,ViT-B,average,,,,,0.608190,0.010640,0.658254,0.006871,0.776615,0.005254
pretrained_food101_dinov3_n101,pretrained,57,2,DINOv3,Food101,101,ViT-B,42,,,,,0.535180,,0.462947,,0.422616,
pretrained_food101_dinov3_n101,pretrained,57,2,DINOv3,Food101,101,ViT-B,43,,,,,0.578212,,0.460689,,0.442134,
pretrained_food101_dinov3_n101,pretrained,57,2,DINOv3,Food101,101,ViT-B,44,,,,,0.543994,,0.464601,,0.411570,
pretrained_food101_dinov3_n101,pretrained,57,2,DINOv3,Food101,101,ViT-B,average,,,,,0.552462,0.022732,0.462746,0.001964,0.425440,0.015477
pretrained_food101_dinov3_n500,pretrained,58,2,DINOv3,Food101,500,ViT-B,42,,,,,0.552883,,0.696434,,0.742911,
pretrained_food101_dinov3_n500,pretrained,58,2,DINOv3,Food101,500,ViT-B,43,,,,,0.560784,,0.688502,,0.748274,
pretrained_food101_dinov3_n500,pretrained,58,2,DINOv3,Food101,500,ViT-B,44,,,,,0.545854,,0.710854,,0.744076,
pretrained_food101_dinov3_n500,pretrained,58,2,DINOv3,Food101,500,ViT-B,average,,,,,0.553174,0.007469,0.698597,0.011332,0.745087,0.002821
pretrained_food101_dinov3_n1000,pretrained,59,2,DINOv3,Food101,1000,ViT-B,42,,,,,0.587475,,0.750787,,0.808308,
pretrained_food101_dinov3_n1000,pretrained,59,2,DINOv3,Food101,1000,ViT-B,43,,,,,0.593526,,0.741546,,0.815349,
pretrained_food101_dinov3_n1000,pretrained,59,2,DINOv3,Food101,1000,ViT-B,44,,,,,0.608599,,0.755344,,0.816003,
pretrained_food101_dinov3_n1000,pretrained,59,2,DINOv3,Food101,1000,ViT-B,average,,,,,0.596534,0.010878,0.749225,0.007030,0.813220,0.004266
pretrained_food101_dinov3_n10000,pretrained,60,4,DINOv3,Food101,10000,ViT-B,42,,,,,0.757687,,0.838492,,0.904674,
pretrained_food101_dinov3_n10000,pretrained,60,4,DINOv3,Food101,10000,ViT-B,43,,,,,0.760353,,0.841071,,0.907107,
pretrained_food101_dinov3_n10000,pretrained,60,4,DINOv3,Food101,10000,ViT-B,44,,,,,0.764398,,0.837663,,0.904990,
pretrained_food101_dinov3_n10000,pretrained,60,4,DINOv3,Food101,10000,ViT-B,average,,,,,0.760812,0.003379,0.839075,0.001777,0.905591,0.001323
pretrained_food101_dinov3_n25000,pretrained,61,4,DINOv3,Food101,25000,ViT-B,42,,,,,0.829835,,0.877626,,0.925465,
pretrained_food101_dinov3_n25000,pretrained,61,4,DINOv3,Food101,25000,ViT-B,43,,,,,0.834403,,0.882281,,0.927509,
pretrained_food101_dinov3_n25000,pretrained,61,4,DINOv3,Food101,25000,ViT-B,44,,,,,0.831992,,0.878031,,0.926941,
pretrained_food101_dinov3_n25000,pretrained,61,4,DINOv3,Food101,25000,ViT-B,average,,,,,0.832077,0.002285,0.879313,0.002578,0.926638,0.001055
pretrained_food101_mae_n1000,pretrained,63,2,MAE,Food101,1000,ViT-B,42,,,,,0.113471,,0.224592,,0.439254,
pretrained_food101_mae_n1000,pretrained,63,2,MAE,Food101,1000,ViT-B,43,,,,,0.107821,,0.219930,,0.432078,
pretrained_food101_mae_n1000,pretrained,63,2,MAE,Food101,1000,ViT-B,44,,,,,0.099685,,0.217234,,0.438574,
pretrained_food101_mae_n1000,pretrained,63,2,MAE,Food101,1000,ViT-B,average,,,,,0.106992,0.006930,0.220585,0.003723,0.436635,0.003961
pretrained_food101_mae_n75750,pretrained,64,-1,MAE,Food101,75750,ViT-B,42,,,,,0.695459,,0.769941,,0.868014,
pretrained_food101_mae_n75750,pretrained,64,-1,MAE,Food101,75750,ViT-B,43,,,,,0.688579,,0.765709,,0.871734,
pretrained_food101_mae_n75750,pretrained,64,-1,MAE,Food101,75750,ViT-B,44,,,,,0.691559,,0.765426,,0.869146,
pretrained_food101_mae_n75750,pretrained,64,-1,MAE,Food101,75750,ViT-B,average,,,,,0.691866,0.003450,0.767025,0.002529,0.869632,0.001907
pretrained_food101_clip_n1000,pretrained,65,2,CLIP,Food101,1000,ViT-B,42,,,,,0.362598,,0.555810,,0.734663,
pretrained_food101_clip_n1000,pretrained,65,2,CLIP,Food101,1000,ViT-B,43,,,,,0.373733,,0.548334,,0.706664,
pretrained_food101_clip_n1000,pretrained,65,2,CLIP,Food101,1000,ViT-B,44,,,,,0.398650,,0.575883,,0.717274,
pretrained_food101_clip_n1000,pretrained,65,2,CLIP,Food101,1000,ViT-B,average,,,,,0.378327,0.018460,0.560009,0.014246,0.719534,0.014136
pretrained_food101_clip_n75750,pretrained,66,-1,CLIP,Food101,75750,ViT-B,42,,,,,0.728925,,0.769159,,0.848568,
pretrained_food101_clip_n75750,pretrained,66,-1,CLIP,Food101,75750,ViT-B,43,,,,,0.730644,,0.772579,,0.848547,
pretrained_food101_clip_n75750,pretrained,66,-1,CLIP,Food101,75750,ViT-B,44,,,,,0.728750,,0.771517,,0.850504,
pretrained_food101_clip_n75750,pretrained,66,-1,CLIP,Food101,75750,ViT-B,average,,,,,0.729440,0.001047,0.771085,0.001751,0.849206,0.001124
pretrained_fgvc_aircraft_dinov3_n100,pretrained,67,2,DINOv3,FGVC_Aircraft,100,ViT-B,42,,,,,0.346601,,0.270929,,0.221964,
pretrained_fgvc_aircraft_dinov3_n100,pretrained,67,2,DINOv3,FGVC_Aircraft,100,ViT-B,43,,,,,0.330025,,0.249046,,0.229513,
pretrained_fgvc_aircraft_dinov3_n100,pretrained,67,2,DINOv3,FGVC_Aircraft,100,ViT-B,44,,,,,0.369556,,0.263846,,0.212053,
pretrained_fgvc_aircraft_dinov3_n100,pretrained,67,2,DINOv3,FGVC_Aircraft,100,ViT-B,average,,,,,0.348728,0.019851,0.261274,0.011166,0.221177,0.008757
pretrained_fgvc_aircraft_dinov3_n500,pretrained,68,2,DINOv3,FGVC_Aircraft,500,ViT-B,42,,,,,0.262645,,0.416309,,0.534253,
pretrained_fgvc_aircraft_dinov3_n500,pretrained,68,2,DINOv3,FGVC_Aircraft,500,ViT-B,43,,,,,0.284674,,0.395828,,0.542996,
pretrained_fgvc_aircraft_dinov3_n500,pretrained,68,2,DINOv3,FGVC_Aircraft,500,ViT-B,44,,,,,0.266185,,0.385749,,0.513505,
pretrained_fgvc_aircraft_dinov3_n500,pretrained,68,2,DINOv3,FGVC_Aircraft,500,ViT-B,average,,,,,0.271168,0.011829,0.399295,0.015572,0.530252,0.015147
pretrained_fgvc_aircraft_dinov3_n1000,pretrained,69,2,DINOv3,FGVC_Aircraft,1000,ViT-B,42,,,,,0.278923,,0.495394,,0.674816,
pretrained_fgvc_aircraft_dinov3_n1000,pretrained,69,2,DINOv3,FGVC_Aircraft,1000,ViT-B,43,,,,,0.290484,,0.472685,,0.698705,
pretrained_fgvc_aircraft_dinov3_n1000,pretrained,69,2,DINOv3,FGVC_Aircraft,1000,ViT-B,44,,,,,0.283092,,0.457445,,0.679518,
pretrained_fgvc_aircraft_dinov3_n1000,pretrained,69,2,DINOv3,FGVC_Aircraft,1000,ViT-B,average,,,,,0.284166,0.005855,0.475175,0.019097,0.684346,0.012656
pretrained_fgvc_aircraft_mae_n1000,pretrained,71,2,MAE,FGVC_Aircraft,1000,ViT-B,42,,,,,0.083643,,0.112633,,0.430137,
pretrained_fgvc_aircraft_mae_n1000,pretrained,71,2,MAE,FGVC_Aircraft,1000,ViT-B,43,,,,,0.094944,,0.117155,,0.417846,
pretrained_fgvc_aircraft_mae_n1000,pretrained,71,2,MAE,FGVC_Aircraft,1000,ViT-B,44,,,,,0.077235,,0.111798,,0.424139,
pretrained_fgvc_aircraft_mae_n1000,pretrained,71,2,MAE,FGVC_Aircraft,1000,ViT-B,average,,,,,0.085274,0.008966,0.113862,0.002883,0.424040,0.006146
pretrained_fgvc_aircraft_clip_n1000,pretrained,73,2,CLIP,FGVC_Aircraft,1000,ViT-B,42,,,,,0.210519,,0.273348,,0.419659,
pretrained_fgvc_aircraft_clip_n1000,pretrained,73,2,CLIP,FGVC_Aircraft,1000,ViT-B,43,,,,,0.202607,,0.256982,,0.416088,
pretrained_fgvc_aircraft_clip_n1000,pretrained,73,2,CLIP,FGVC_Aircraft,1000,ViT-B,44,,,,,0.199447,,0.256925,,0.393335,
pretrained_fgvc_aircraft_clip_n1000,pretrained,73,2,CLIP,FGVC_Aircraft,1000,ViT-B,average,,,,,0.204191,0.005704,0.262418,0.009466,0.409694,0.014279
random_dermamnist_scratch_n100,random,296,2,SCRATCH,DermaMNIST,100,ViT-B,42,,,,,0.164959,,0.205858,,0.239711,
random_dermamnist_scratch_n100,random,296,2,SCRATCH,DermaMNIST,100,ViT-B,43,,,,,0.130091,,0.198503,,0.232284,
random_dermamnist_scratch_n100,random,296,2,SCRATCH,DermaMNIST,100,ViT-B,44,,,,,0.144113,,0.224953,,0.235942,
random_dermamnist_scratch_n100,random,296,2,SCRATCH,DermaMNIST,100,ViT-B,average,,,,,0.146388,0.017545,0.209772,0.013652,0.235979,0.003714
random_dermamnist_scratch_n500,random,297,2,SCRATCH,DermaMNIST,500,ViT-B,42,,,,,0.226653,,0.238893,,0.387167,
random_dermamnist_scratch_n500,random,297,2,SCRATCH,DermaMNIST,500,ViT-B,43,,,,,0.184826,,0.242434,,0.378337,
random_dermamnist_scratch_n500,random,297,2,SCRATCH,DermaMNIST,500,ViT-B,44,,,,,0.228670,,0.292580,,0.399992,
random_dermamnist_scratch_n500,random,297,2,SCRATCH,DermaMNIST,500,ViT-B,average,,,,,0.213383,0.024752,0.257969,0.030027,0.388499,0.010889
random_dermamnist_scratch_n1000,random,298,2,SCRATCH,DermaMNIST,1000,ViT-B,42,,,,,0.228706,,0.281755,,0.472595,
random_dermamnist_scratch_n1000,random,298,2,SCRATCH,DermaMNIST,1000,ViT-B,43,,,,,0.226262,,0.270321,,0.453287,
random_dermamnist_scratch_n1000,random,298,2,SCRATCH,DermaMNIST,1000,ViT-B,44,,,,,0.262888,,0.281414,,0.470764,
random_dermamnist_scratch_n1000,random,298,2,SCRATCH,DermaMNIST,1000,ViT-B,average,,,,,0.239285,0.020477,0.277830,0.006505,0.465549,0.010658
random_dermamnist_scratch_n7007,random,299,4,SCRATCH,DermaMNIST,7007,ViT-B,42,,,,,0.383852,,0.426049,,0.675601,
random_dermamnist_scratch_n7007,random,299,4,SCRATCH,DermaMNIST,7007,ViT-B,43,,,,,0.397267,,0.404343,,0.676865,
random_dermamnist_scratch_n7007,random,299,4,SCRATCH,DermaMNIST,7007,ViT-B,44,,,,,0.372859,,0.401178,,0.688122,
random_dermamnist_scratch_n7007,random,299,4,SCRATCH,DermaMNIST,7007,ViT-B,average,,,,,0.384659,0.012224,0.410523,0.013538,0.680196,0.006893
random_breastmnist_scratch_n100,random,300,2,SCRATCH,BreastMNIST,100,ViT-B,42,,,,,0.446104,,0.562712,,0.626512,
random_breastmnist_scratch_n100,random,300,2,SCRATCH,BreastMNIST,100,ViT-B,43,,,,,0.488599,,0.592551,,0.581424,
random_breastmnist_scratch_n100,random,300,2,SCRATCH,BreastMNIST,100,ViT-B,44,,,,,0.439032,,0.543457,,0.674360,
random_breastmnist_scratch_n100,random,300,2,SCRATCH,BreastMNIST,100,ViT-B,average,,,,,0.457912,0.026810,0.566240,0.024736,0.627432,0.046475
random_breastmnist_scratch_n500,random,301,2,SCRATCH,BreastMNIST,500,ViT-B,42,,,,,0.630022,,0.601619,,0.755545,
random_breastmnist_scratch_n500,random,301,2,SCRATCH,BreastMNIST,500,ViT-B,43,,,,,0.698065,,0.601619,,0.729167,
random_breastmnist_scratch_n500,random,301,2,SCRATCH,BreastMNIST,500,ViT-B,44,,,,,0.685484,,0.613362,,0.748792,
random_breastmnist_scratch_n500,random,301,2,SCRATCH,BreastMNIST,500,ViT-B,average,,,,,0.671190,0.036203,0.605534,0.006780,0.744501,0.013703
random_breastmnist_scratch_n546,random,302,2,SCRATCH,BreastMNIST,546,ViT-B,42,,,,,0.663771,,0.579515,,0.724398,
random_breastmnist_scratch_n546,random,302,2,SCRATCH,BreastMNIST,546,ViT-B,43,,,,,0.731497,,0.515528,,0.769702,
random_breastmnist_scratch_n546,random,302,2,SCRATCH,BreastMNIST,546,ViT-B,44,,,,,0.671830,,0.486471,,0.748792,
random_breastmnist_scratch_n546,random,302,2,SCRATCH,BreastMNIST,546,ViT-B,average,,,,,0.689033,0.036995,0.527171,0.047602,0.747631,0.022674
random_octmnist_scratch_n100,random,303,2,SCRATCH,OctMNIST,100,ViT-B,42,,,,,0.238778,,0.265492,,0.495712,
random_octmnist_scratch_n100,random,303,2,SCRATCH,OctMNIST,100,ViT-B,43,,,,,0.235285,,0.249779,,0.430142,
random_octmnist_scratch_n100,random,303,2,SCRATCH,OctMNIST,100,ViT-B,44,,,,,0.239393,,0.294940,,0.430388,
random_octmnist_scratch_n100,random,303,2,SCRATCH,OctMNIST,100,ViT-B,average,,,,,0.237819,0.002216,0.270070,0.022926,0.452081,0.037786
random_octmnist_scratch_n500,random,304,2,SCRATCH,OctMNIST,500,ViT-B,42,,,,,0.308077,,0.416731,,0.624593,
random_octmnist_scratch_n500,random,304,2,SCRATCH,OctMNIST,500,ViT-B,43,,,,,0.285852,,0.370227,,0.591648,
random_octmnist_scratch_n500,random,304,2,SCRATCH,OctMNIST,500,ViT-B,44,,,,,0.309582,,0.386000,,0.566370,
random_octmnist_scratch_n500,random,304,2,SCRATCH,OctMNIST,500,ViT-B,average,,,,,0.301170,0.013288,0.390986,0.023650,0.594204,0.029196
random_octmnist_scratch_n1000,random,305,2,SCRATCH,OctMNIST,1000,ViT-B,42,,,,,0.311623,,0.438797,,0.655227,
random_octmnist_scratch_n1000,random,305,2,SCRATCH,OctMNIST,1000,ViT-B,43,,,,,0.308928,,0.419714,,0.667447,
random_octmnist_scratch_n1000,random,305,2,SCRATCH,OctMNIST,1000,ViT-B,44,,,,,0.314866,,0.421250,,0.637640,
random_octmnist_scratch_n1000,random,305,2,SCRATCH,OctMNIST,1000,ViT-B,average,,,,,0.311806,0.002974,0.426587,0.010602,0.653438,0.014984
random_octmnist_scratch_n10000,random,306,4,SCRATCH,OctMNIST,10000,ViT-B,42,,,,,0.434896,,0.474057,,0.798457,
random_octmnist_scratch_n10000,random,306,4,SCRATCH,OctMNIST,10000,ViT-B,43,,,,,0.394690,,0.483048,,0.817625,
random_octmnist_scratch_n10000,random,306,4,SCRATCH,OctMNIST,10000,ViT-B,44,,,,,0.433400,,0.498072,,0.814626,
random_octmnist_scratch_n10000,random,306,4,SCRATCH,OctMNIST,10000,ViT-B,average,,,,,0.420995,0.022793,0.485059,0.012133,0.810236,0.010310
random_octmnist_scratch_n25000,random,307,4,SCRATCH,OctMNIST,25000,ViT-B,42,,,,,0.701815,,0.713443,,0.831961,
random_octmnist_scratch_n25000,random,307,4,SCRATCH,OctMNIST,25000,ViT-B,43,,,,,0.695861,,0.674034,,0.855930,
random_octmnist_scratch_n25000,random,307,4,SCRATCH,OctMNIST,25000,ViT-B,44,,,,,0.680901,,0.705072,,0.842008,
random_octmnist_scratch_n25000,random,307,4,SCRATCH,OctMNIST,25000,ViT-B,average,,,,,0.692859,0.010776,0.697516,0.020762,0.843300,0.012037
random_organamnist_scratch_n100,random,309,2,SCRATCH,OrganAMNIST,100,ViT-B,42,,,,,0.382458,,0.366916,,0.474467,
random_organamnist_scratch_n100,random,309,2,SCRATCH,OrganAMNIST,100,ViT-B,43,,,,,0.318340,,0.398740,,0.469492,
random_organamnist_scratch_n100,random,309,2,SCRATCH,OrganAMNIST,100,ViT-B,44,,,,,0.373995,,0.386486,,0.467053,
random_organamnist_scratch_n100,random,309,2,SCRATCH,OrganAMNIST,100,ViT-B,average,,,,,0.358265,0.034833,0.384047,0.016052,0.470337,0.003778
random_organamnist_scratch_n500,random,310,2,SCRATCH,OrganAMNIST,500,ViT-B,42,,,,,0.496915,,0.497916,,0.566503,
random_organamnist_scratch_n500,random,310,2,SCRATCH,OrganAMNIST,500,ViT-B,43,,,,,0.513297,,0.487763,,0.600494,
random_organamnist_scratch_n500,random,310,2,SCRATCH,OrganAMNIST,500,ViT-B,44,,,,,0.528390,,0.455846,,0.575431,
random_organamnist_scratch_n500,random,310,2,SCRATCH,OrganAMNIST,500,ViT-B,average,,,,,0.512867,0.015742,0.480508,0.021953,0.580809,0.017622
random_organamnist_scratch_n1000,random,311,2,SCRATCH,OrganAMNIST,1000,ViT-B,42,,,,,0.581842,,0.494421,,0.647768,
random_organamnist_scratch_n1000,random,311,2,SCRATCH,OrganAMNIST,1000,ViT-B,43,,,,,0.591096,,0.503820,,0.648111,
random_organamnist_scratch_n1000,random,311,2,SCRATCH,OrganAMNIST,1000,ViT-B,44,,,,,0.576408,,0.478413,,0.650893,
random_organamnist_scratch_n1000,random,311,2,SCRATCH,OrganAMNIST,1000,ViT-B,average,,,,,0.583115,0.007426,0.492218,0.012846,0.648924,0.001714
random_organamnist_scratch_n10000,random,312,4,SCRATCH,OrganAMNIST,10000,ViT-B,42,,,,,0.807720,,0.671995,,0.805482,
random_organamnist_scratch_n10000,random,312,4,SCRATCH,OrganAMNIST,10000,ViT-B,43,,,,,0.794431,,0.661105,,0.796906,
random_organamnist_scratch_n10000,random,312,4,SCRATCH,OrganAMNIST,10000,ViT-B,44,,,,,0.796615,,0.664462,,0.800033,
random_organamnist_scratch_n10000,random,312,4,SCRATCH,OrganAMNIST,10000,ViT-B,average,,,,,0.799589,0.007126,0.665854,0.005576,0.800807,0.004340
random_organamnist_scratch_n25000,random,313,4,SCRATCH,OrganAMNIST,25000,ViT-B,42,,,,,0.836363,,0.751824,,0.810572,
random_organamnist_scratch_n25000,random,313,4,SCRATCH,OrganAMNIST,25000,ViT-B,43,,,,,0.820968,,0.736082,,0.810819,
random_organamnist_scratch_n25000,random,313,4,SCRATCH,OrganAMNIST,25000,ViT-B,44,,,,,0.828045,,0.739555,,0.806471,
random_organamnist_scratch_n25000,random,313,4,SCRATCH,OrganAMNIST,25000,ViT-B,average,,,,,0.828459,0.007706,0.742487,0.008271,0.809287,0.002442
random_organamnist_scratch_n34561,random,314,6,SCRATCH,OrganAMNIST,34561,ViT-B,42,,,,,0.845391,,0.806360,,0.834780,
random_organamnist_scratch_n34561,random,314,6,SCRATCH,OrganAMNIST,34561,ViT-B,43,,,,,0.826506,,0.790471,,0.834463,
random_organamnist_scratch_n34561,random,314,6,SCRATCH,OrganAMNIST,34561,ViT-B,44,,,,,0.848100,,0.795299,,0.829610,
random_organamnist_scratch_n34561,random,314,6,SCRATCH,OrganAMNIST,34561,ViT-B,average,,,,,0.839999,0.011763,0.797377,0.008146,0.832951,0.002898
random_pathmnist_scratch_n100,random,315,2,SCRATCH,PathMNIST,100,ViT-B,42,,,,,0.422210,,0.476010,,0.603900,
random_pathmnist_scratch_n100,random,315,2,SCRATCH,PathMNIST,100,ViT-B,43,,,,,0.419336,,0.452858,,0.640557,
random_pathmnist_scratch_n100,random,315,2,SCRATCH,PathMNIST,100,ViT-B,44,,,,,0.440892,,0.475241,,0.586443,
random_pathmnist_scratch_n100,random,315,2,SCRATCH,PathMNIST,100,ViT-B,average,,,,,0.427479,0.011704,0.468037,0.013151,0.610300,0.027619
random_pathmnist_scratch_n500,random,316,2,SCRATCH,PathMNIST,500,ViT-B,42,,,,,0.587397,,0.565264,,0.757498,
random_pathmnist_scratch_n500,random,316,2,SCRATCH,PathMNIST,500,ViT-B,43,,,,,0.627197,,0.630735,,0.791620,
random_pathmnist_scratch_n500,random,316,2,SCRATCH,PathMNIST,500,ViT-B,44,,,,,0.594073,,0.601289,,0.747187,
random_pathmnist_scratch_n500,random,316,2,SCRATCH,PathMNIST,500,ViT-B,average,,,,,0.602889,0.021314,0.599096,0.032791,0.765435,0.023255
random_pathmnist_scratch_n1000,random,317,2,SCRATCH,PathMNIST,1000,ViT-B,42,,,,,0.660197,,0.638918,,0.796841,
random_pathmnist_scratch_n1000,random,317,2,SCRATCH,PathMNIST,1000,ViT-B,43,,,,,0.656869,,0.647908,,0.802181,
random_pathmnist_scratch_n1000,random,317,2,SCRATCH,PathMNIST,1000,ViT-B,44,,,,,0.621261,,0.626740,,0.793421,
random_pathmnist_scratch_n1000,random,317,2,SCRATCH,PathMNIST,1000,ViT-B,average,,,,,0.646109,0.021583,0.637856,0.010624,0.797481,0.004415
random_pathmnist_scratch_n10000,random,318,4,SCRATCH,PathMNIST,10000,ViT-B,42,,,,,0.838026,,0.844621,,0.912089,
random_pathmnist_scratch_n10000,random,318,4,SCRATCH,PathMNIST,10000,ViT-B,43,,,,,0.840380,,0.854105,,0.904168,
random_pathmnist_scratch_n10000,random,318,4,SCRATCH,PathMNIST,10000,ViT-B,44,,,,,0.832772,,0.846351,,0.900339,
random_pathmnist_scratch_n10000,random,318,4,SCRATCH,PathMNIST,10000,ViT-B,average,,,,,0.837060,0.003895,0.848359,0.005051,0.905532,0.005992
random_pathmnist_scratch_n25000,random,319,4,SCRATCH,PathMNIST,25000,ViT-B,42,,,,,0.893817,,0.897412,,0.918519,
random_pathmnist_scratch_n25000,random,319,4,SCRATCH,PathMNIST,25000,ViT-B,43,,,,,0.884499,,0.886725,,0.908537,
random_pathmnist_scratch_n25000,random,319,4,SCRATCH,PathMNIST,25000,ViT-B,44,,,,,0.884346,,0.897088,,0.914692,
random_pathmnist_scratch_n25000,random,319,4,SCRATCH,PathMNIST,25000,ViT-B,average,,,,,0.887554,0.005424,0.893742,0.006079,0.913916,0.005036
random_galaxy10_scratch_n100,random,321,2,SCRATCH,Galaxy10,100,ViT-B,42,,,,,0.139575,,0.121992,,0.249529,
random_galaxy10_scratch_n100,random,321,2,SCRATCH,Galaxy10,100,ViT-B,43,,,,,0.153815,,0.123278,,0.234457,
random_galaxy10_scratch_n100,random,321,2,SCRATCH,Galaxy10,100,ViT-B,44,,,,,0.126965,,0.120238,,0.237361,
random_galaxy10_scratch_n100,random,321,2,SCRATCH,Galaxy10,100,ViT-B,average,,,,,0.140118,0.013433,0.121836,0.001526,0.240449,0.007997
random_galaxy10_scratch_n500,random,322,2,SCRATCH,Galaxy10,500,ViT-B,42,,,,,0.244466,,0.245511,,0.473035,
random_galaxy10_scratch_n500,random,322,2,SCRATCH,Galaxy10,500,ViT-B,43,,,,,0.256301,,0.219892,,0.472211,
random_galaxy10_scratch_n500,random,322,2,SCRATCH,Galaxy10,500,ViT-B,44,,,,,0.237797,,0.244160,,0.478593,
random_galaxy10_scratch_n500,random,322,2,SCRATCH,Galaxy10,500,ViT-B,average,,,,,0.246188,0.009372,0.236521,0.014417,0.474613,0.003471
random_galaxy10_scratch_n1000,random,323,2,SCRATCH,Galaxy10,1000,ViT-B,42,,,,,0.266191,,0.261998,,0.539151,
random_galaxy10_scratch_n1000,random,323,2,SCRATCH,Galaxy10,1000,ViT-B,43,,,,,0.287373,,0.292814,,0.565007,
random_galaxy10_scratch_n1000,random,323,2,SCRATCH,Galaxy10,1000,ViT-B,44,,,,,0.271348,,0.282211,,0.564063,
random_galaxy10_scratch_n1000,random,323,2,SCRATCH,Galaxy10,1000,ViT-B,average,,,,,0.274971,0.011046,0.279008,0.015656,0.556073,0.014663
random_galaxy10_scratch_n10000,random,324,4,SCRATCH,Galaxy10,10000,ViT-B,42,,,,,0.503636,,0.499175,,0.749540,
random_galaxy10_scratch_n10000,random,324,4,SCRATCH,Galaxy10,10000,ViT-B,43,,,,,0.484273,,0.470716,,0.749932,
random_galaxy10_scratch_n10000,random,324,4,SCRATCH,Galaxy10,10000,ViT-B,44,,,,,0.471322,,0.460792,,0.749880,
random_galaxy10_scratch_n10000,random,324,4,SCRATCH,Galaxy10,10000,ViT-B,average,,,,,0.486410,0.016263,0.476894,0.019923,0.749784,0.000213
random_galaxy10_scratch_n14188,random,325,4,SCRATCH,Galaxy10,14188,ViT-B,42,,,,,0.511649,,0.539589,,0.757809,
random_galaxy10_scratch_n14188,random,325,4,SCRATCH,Galaxy10,14188,ViT-B,43,,,,,0.518632,,0.505048,,0.780494,
random_galaxy10_scratch_n14188,random,325,4,SCRATCH,Galaxy10,14188,ViT-B,44,,,,,0.510917,,0.524651,,0.748830,
random_galaxy10_scratch_n14188,random,325,4,SCRATCH,Galaxy10,14188,ViT-B,average,,,,,0.513733,0.004258,0.523096,0.017323,0.762378,0.016319
random_food101_scratch_n101,random,326,2,SCRATCH,Food101,101,ViT-B,42,,,,,0.013303,,0.011548,,0.014363,
random_food101_scratch_n101,random,326,2,SCRATCH,Food101,101,ViT-B,43,,,,,0.014411,,0.011457,,0.019434,
random_food101_scratch_n101,random,326,2,SCRATCH,Food101,101,ViT-B,44,,,,,0.016361,,0.013511,,0.018427,
random_food101_scratch_n101,random,326,2,SCRATCH,Food101,101,ViT-B,average,,,,,0.014692,0.001548,0.012172,0.001160,0.017408,0.002684
