run_id,group,backbone_tag,backbone_timm,dataset,display_name,model_size,n_samples,num_trained_blocks,pool_strategy,random_init,project,cookbook_row
pretrained_pathmnist_dinov3_n100,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,pathmnist,PathMNIST,ViT-B,100,2,cls,no,lejepa-cp-dinov3-pathmnist,38
pretrained_pathmnist_dinov3_n500,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,pathmnist,PathMNIST,ViT-B,500,2,cls,no,lejepa-cp-dinov3-pathmnist,39
pretrained_pathmnist_dinov3_n1000,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,pathmnist,PathMNIST,ViT-B,1000,2,cls,no,lejepa-cp-dinov3-pathmnist,40
pretrained_pathmnist_dinov3_n10000,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,pathmnist,PathMNIST,ViT-B,10000,4,cls,no,lejepa-cp-dinov3-pathmnist,41
pretrained_pathmnist_dinov3_n89996,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,pathmnist,PathMNIST,ViT-B,89996,-1,cls,no,lejepa-cp-dinov3-pathmnist,43
pretrained_pathmnist_mae_n1000,pretrained,MAE,vit_base_patch16_224.mae,pathmnist,PathMNIST,ViT-B,1000,2,mean,no,lejepa-cp-mae-pathmnist,44
pretrained_pathmnist_clip_n1000,pretrained,CLIP,vit_base_patch16_clip_224.openai,pathmnist,PathMNIST,ViT-B,1000,2,cls,no,lejepa-cp-clip-pathmnist,46
pretrained_pathmnist_clip_n89996,pretrained,CLIP,vit_base_patch16_clip_224.openai,pathmnist,PathMNIST,ViT-B,89996,-1,cls,no,lejepa-cp-clip-pathmnist,47
pretrained_galaxy10_dinov3_n100,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,galaxy10,Galaxy10,ViT-B,100,2,cls,no,lejepa-cp-dinov3-galaxy10,48
pretrained_galaxy10_dinov3_n500,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,galaxy10,Galaxy10,ViT-B,500,2,cls,no,lejepa-cp-dinov3-galaxy10,49
pretrained_galaxy10_dinov3_n1000,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,galaxy10,Galaxy10,ViT-B,1000,2,cls,no,lejepa-cp-dinov3-galaxy10,50
pretrained_galaxy10_dinov3_n10000,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,galaxy10,Galaxy10,ViT-B,10000,4,cls,no,lejepa-cp-dinov3-galaxy10,51
pretrained_galaxy10_dinov3_n14188,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,galaxy10,Galaxy10,ViT-B,14188,4,cls,no,lejepa-cp-dinov3-galaxy10,52
pretrained_galaxy10_mae_n1000,pretrained,MAE,vit_base_patch16_224.mae,galaxy10,Galaxy10,ViT-B,1000,2,mean,no,lejepa-cp-mae-galaxy10,53
pretrained_galaxy10_mae_n14188,pretrained,MAE,vit_base_patch16_224.mae,galaxy10,Galaxy10,ViT-B,14188,4,mean,no,lejepa-cp-mae-galaxy10,54
