run_id,backbone_tag,backbone_timm,dataset,display_name,model_size,n_samples,num_trained_blocks,pool_strategy,project
mae_rerun_max_octmnist_dinov3,DINOv3,vit_base_patch16_dinov3.lvd1689m,octmnist,OctMNIST,ViT-B,97477,-1,cls,mae-rerun-max-dinov3-octmnist
mae_rerun_max_octmnist_mae,MAE,vit_base_patch16_224.mae,octmnist,OctMNIST,ViT-B,97477,-1,mean,mae-rerun-max-mae-octmnist
mae_rerun_max_octmnist_clip,CLIP,vit_base_patch16_clip_224.openai,octmnist,OctMNIST,ViT-B,97477,-1,cls,mae-rerun-max-clip-octmnist
mae_rerun_max_pathmnist_dinov3,DINOv3,vit_base_patch16_dinov3.lvd1689m,pathmnist,PathMNIST,ViT-B,89996,-1,cls,mae-rerun-max-dinov3-pathmnist
mae_rerun_max_pathmnist_mae,MAE,vit_base_patch16_224.mae,pathmnist,PathMNIST,ViT-B,89996,-1,mean,mae-rerun-max-mae-pathmnist
mae_rerun_max_pathmnist_clip,CLIP,vit_base_patch16_clip_224.openai,pathmnist,PathMNIST,ViT-B,89996,-1,cls,mae-rerun-max-clip-pathmnist
mae_rerun_max_food101_dinov3,DINOv3,vit_base_patch16_dinov3.lvd1689m,food101,Food101,ViT-B,75750,-1,cls,mae-rerun-max-dinov3-food101
mae_rerun_max_food101_mae,MAE,vit_base_patch16_224.mae,food101,Food101,ViT-B,75750,-1,mean,mae-rerun-max-mae-food101
mae_rerun_max_food101_clip,CLIP,vit_base_patch16_clip_224.openai,food101,Food101,ViT-B,75750,-1,cls,mae-rerun-max-clip-food101
